Наименование,Старая ценаЦена,Код товара
"Антисептик Цитрон Бьютисепт 80% 60 мл
",5584 с,56 с,Код: Z0000087880
"Антисептик Цитрон Бьютисепт 80% 100 мл
",7903 с,81 с,Код: Z0000087881
"Антисептик Цитрон Чистые руки 80% 5 л
",661 с,621 с,Код: Z0000087882
"Антисептик Цитрон Чистые руки 80% 1 л
",8330 с,183 с,Код: Z0000087883
"Антисептик Цитрон Чистые руки 80% с дозатором 1 л
",,201 с,Код: Z0000087884
"Антисептик Цитрон Чистые руки 80% с дозатором 0,5 л
",5193 с,125 с,Код: Z0000087885
"Антисептик Цитрон 65% 60 мл
",,45 с,Код: Z0000087886
"Антисептик Цитрон Максет 65% 5 л
",5355 с,589 с,Код: Z0000087887
"Гель для рук Цитрон Doctor clean 65% 500 мл
",2720 с,192 с,Код: Z0000087888
"Антисептик Цитрон АЮ 80% 5 л
",1022 с,601 с,Код: Z0000087889
"Антисептик Цитрон АЮ 80% 1 л
",208 с,168 с,Код: Z0000087890
"Антисептик Цитрон АЮ с дозатором
",3400 с,168 с,Код: Z0000087891
"Антисептик 5 л
",1027 с,911 с,Код: Z0000078420
"Гигиенический раствор для рук Аю Pharm 500 мл*1 шт
",170 с,85 с,Код: Z0000076272
"Гигиенический раствор для рук Аю Pharm 1 л*1 шт
",3655 с,170 с,Код: Z0000076273
"Гигиенический раствор для рук Аю Pharm 5 л*1 шт
",765 с,680 с,Код: Z0000076274
